index,xmin,ymin,xmax,ymax,center_x,center_y,confidence,class,predicted_id,name,componentId,color,key,lineTypeId,group,lineTypeIdNumber,lineTypeName,checked,componentType,distance
73,2429.517,1760.9612,2488.0176,1801.3322,2458.7673,1781.1467,0.9063971,24,2201c897,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,ad1a2381,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,734.7392488184005
71,2331.6658,1682.6359,2372.6997,1724.9484,2352.1826,1703.7921,0.90682834,35,525844d6,v_m,clnk1x9zk002v34aojm2s6xiu,#0DB24C,eca6e2c5,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,725.9696961966999
54,2096.6755,1791.0111,2166.0493,1831.1837,2131.3623,1811.0974,0.87152797,31,2ded5fa6,terminator_double,clnk1x9zm003434aoc9i4tm42,#0DB27A,323886a0,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,364.91378028648455
91,3004.9087,1132.4622,3082.5706,1184.8389,3043.7397,1158.6505,0.90139854,2,98316386,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,5c1e8b77,clwx2hny8005c348cwgfkbm1o,clwx2hny8005c348cwgfkbm1o-0,clwx2hny8005c348cwgfkbm1o-0,115_transformer_future-3-0,False,mandatory,5000.0
2,67.20841,2460.011,385.06454,2689.999,226.13647,2575.005,0.9077442,15,6051b31a,22_cap_bank,clnk1x9zg002j34aoox1pjy3x,#0DB24C,b67def93,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,mandatory,5000.0
1,211.10408,1930.8297,239.68082,2038.1748,225.39246,1984.5022,0.8836218,14,95a02138,22_breaker,clnk1x9yy001s34aok46x91s6,#3C0DB2,4c5d463b,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,1259.1038225937177
6,293.36865,2136.7065,346.69705,2175.6074,320.03284,2156.157,0.8760417,23,422e4480,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,ed1ff4ef,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,1285.4002871499993
7,379.91492,2137.108,433.79642,2175.8398,406.85565,2156.4739,0.89939487,22,754a8ff5,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,1663e15e,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,1337.968829644923
0,176.6145,2268.4758,209.42862,2312.0574,193.02156,2290.2666,0.86529565,18,317c2b8e,22_gs,clnk1x9zf002f34aobq6lwoe3,#0D0DB2,91bdc518,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,865.0235200658624
5,241.18584,2252.1677,273.87772,2270.1814,257.53177,2261.1746,0.7963525,19,3d013c1d,22_ll,clnk1x9yz002534ao2aywryg7,#16448c,2bfcfad3,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,744.2417741353422
4,216.83553,2286.792,270.23563,2316.285,243.53558,2301.5386,0.8221169,34,9879cd7b,terminator_w_future,clnk1x9zm003134aon68l1b4l,#0D7AB2,cca65b6d,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,503.4234482783627
3,218.46342,2438.1343,241.18747,2456.8972,229.82544,2447.5156,0.8376495,32,84816835,terminator_single,clnk1xat1003b34aovnr93xsf,#0DB2B2,b6fbce4e,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,195.0071426749364
8,396.2339,2548.4731,443.65536,2579.2964,419.94464,2563.8848,0.89738953,27,535f9591,Q,clnk1x9zj002t34aow7kklyyh,#7A0DB2,9afc7ff0,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,636.6437943888956
11,595.8888,1923.0312,620.59186,2043.0951,608.24036,1983.0632,0.90053993,14,b30c708f,22_breaker,clnk1x9yy001s34aok46x91s6,#3C0DB2,a61fc646,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-0,clwx2951n000m348c9b3qu4fb-0,22_outgoing-5-0,False,mandatory,5000.0
9,555.1965,2266.351,593.11,2312.219,574.1532,2289.2852,0.8774276,18,4ff6d2ce,22_gs,clnk1x9zf002f34aobq6lwoe3,#0D0DB2,fced5c19,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-0,clwx2951n000m348c9b3qu4fb-0,22_outgoing-5-0,False,optional,482.84985514955554
14,626.9341,2251.6392,657.4522,2270.4673,642.1931,2261.0532,0.83453685,19,066f5205,22_ll,clnk1x9yz002534ao2aywryg7,#16448c,ef93fd7a,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-0,clwx2951n000m348c9b3qu4fb-0,22_outgoing-5-0,False,optional,449.8792924010784
10,570.539,2475.8132,631.3682,2581.4639,600.9536,2528.6387,0.9149545,17,04ddc062,22_ds_la_out,clnk1x9z1002934aogf3ugt94,#0DB20D,e88ca112,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-0,clwx2951n000m348c9b3qu4fb-0,22_outgoing-5-0,False,optional,820.2489168102786
12,601.6106,2444.1465,622.6663,2462.9397,612.1384,2453.543,0.83520955,32,0434061f,terminator_single,clnk1xat1003b34aovnr93xsf,#0DB2B2,cf791b51,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-0,clwx2951n000m348c9b3qu4fb-0,22_outgoing-5-0,False,optional,699.7686860699234
13,602.41205,2285.9736,656.9437,2319.1787,629.67786,2302.5762,0.8142639,34,9c1dc44c,terminator_w_future,clnk1x9zm003134aon68l1b4l,#0D7AB2,21fbfebd,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-0,clwx2951n000m348c9b3qu4fb-0,22_outgoing-5-0,False,optional,469.19300090006317
17,799.3996,1930.1318,826.3454,2040.9438,812.8725,1985.5378,0.88770455,14,4f57493f,22_breaker,clnk1x9yy001s34aok46x91s6,#3C0DB2,41d9598b,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-1,clwx2951n000m348c9b3qu4fb-1,22_outgoing-5-1,False,mandatory,5000.0
15,760.36816,2268.7634,796.44977,2310.7185,778.40894,2289.741,0.90767205,18,459fd009,22_gs,clnk1x9zf002f34aobq6lwoe3,#0D0DB2,a14796ed,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-1,clwx2951n000m348c9b3qu4fb-1,22_outgoing-5-1,False,optional,597.602163828553
20,828.2073,2252.9072,860.65967,2270.3113,844.4335,2261.6094,0.79478806,19,e0abac7f,22_ll,clnk1x9yz002534ao2aywryg7,#16448c,ad4af3ac,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-1,clwx2951n000m348c9b3qu4fb-1,22_outgoing-5-1,False,optional,414.8670990922586
16,773.9697,2475.804,832.88257,2578.9565,803.42615,2527.3804,0.91001874,17,264567f6,22_ds_la_out,clnk1x9z1002934aogf3ugt94,#0DB20D,797551e5,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-1,clwx2951n000m348c9b3qu4fb-1,22_outgoing-5-1,False,optional,802.1656556895933
18,803.52386,2442.7603,825.88855,2462.0972,814.7062,2452.4287,0.8258249,32,0405510e,terminator_single,clnk1xat1003b34aovnr93xsf,#0DB2B2,98824016,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-1,clwx2951n000m348c9b3qu4fb-1,22_outgoing-5-1,False,optional,691.0702012600884
19,802.49,2285.738,858.9131,2315.63,830.70154,2300.684,0.80923384,34,39eda67f,terminator_w_future,clnk1x9zm003134aon68l1b4l,#0D7AB2,993be221,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-1,clwx2951n000m348c9b3qu4fb-1,22_outgoing-5-1,False,optional,452.39401102683985
22,979.3244,1929.0576,1005.4042,2042.6125,992.36426,1985.8351,0.891776,14,e72b269b,22_breaker,clnk1x9yy001s34aok46x91s6,#3C0DB2,a93b144b,clwx2951l000e348cmiy7vxb8,clwx2951l000e348cmiy7vxb8-0,clwx2951l000e348cmiy7vxb8-0,22_incoming-6-0,False,mandatory,5000.0
25,1106.6455,2242.7842,1164.4386,2281.2383,1135.542,2262.0112,0.891644,23,e85d15d5,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,8e21fca0,clwx2951l000e348cmiy7vxb8,clwx2951l000e348cmiy7vxb8-0,clwx2951l000e348cmiy7vxb8-0,22_incoming-6-0,False,optional,573.6610383315987
26,1218.6589,2241.4224,1272.9393,2279.4878,1245.7991,2260.455,0.8958837,22,04e214ee,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,cdbdf81a,clwx2951l000e348cmiy7vxb8,clwx2951l000e348cmiy7vxb8-0,clwx2951l000e348cmiy7vxb8-0,22_incoming-6-0,False,optional,733.9108216936543
24,1007.7631,2467.7378,1037.0006,2483.2085,1022.38184,2475.4731,0.80254924,19,ff00f367,22_ll,clnk1x9yz002534ao2aywryg7,#16448c,75830e7e,clwx2951l000e348cmiy7vxb8,clwx2951l000e348cmiy7vxb8-0,clwx2951l000e348cmiy7vxb8-0,22_incoming-6-0,False,optional,752.3544725075503
21,946.4734,2479.0588,978.5626,2521.7334,962.518,2500.396,0.81187475,18,14db92d6,22_gs,clnk1x9zf002f34aobq6lwoe3,#0D0DB2,0f789db6,clwx2951l000e348cmiy7vxb8,clwx2951l000e348cmiy7vxb8-0,clwx2951l000e348cmiy7vxb8-0,22_incoming-6-0,False,optional,746.0407640085655
23,991.05695,2536.4258,1038.738,2570.7568,1014.89746,2553.5913,0.8313762,31,c8f68e3e,terminator_double,clnk1x9zm003434aoc9i4tm42,#0DB27A,d71d0e20,clwx2951l000e348cmiy7vxb8,clwx2951l000e348cmiy7vxb8-0,clwx2951l000e348cmiy7vxb8-0,22_incoming-6-0,False,optional,786.0529573173852
29,1448.7681,1923.3822,1472.941,2042.3253,1460.8545,1982.8538,0.89762646,14,179d9d3a,22_breaker,clnk1x9yy001s34aok46x91s6,#3C0DB2,389c11f6,clx49gds40001349wqm2ec002,clx49gds40001349wqm2ec002-0,clx49gds40001349wqm2ec002-0,22_outgoing-7-0,False,mandatory,5000.0
27,1410.1052,2268.2957,1445.6119,2311.0032,1427.8586,2289.6494,0.9082122,18,b617f713,22_gs,clnk1x9zf002f34aobq6lwoe3,#0D0DB2,adbb27d2,clx49gds40001349wqm2ec002,clx49gds40001349wqm2ec002-0,clx49gds40001349wqm2ec002-0,22_outgoing-7-0,False,optional,474.18080759124337
32,1477.0,2253.4666,1510.9684,2270.8503,1493.9841,2262.1584,0.80800545,19,884471d8,22_ll,clnk1x9yz002534ao2aywryg7,#16448c,27fc2190,clx49gds40001349wqm2ec002,clx49gds40001349wqm2ec002-0,clx49gds40001349wqm2ec002-0,22_outgoing-7-0,False,optional,410.5117600329312
28,1422.3462,2472.7546,1481.3575,2582.5984,1451.8518,2527.6765,0.9131797,17,930bd79e,22_ds_la_out,clnk1x9z1002934aogf3ugt94,#0DB20D,1c8eedbf,clx49gds40001349wqm2ec002,clx49gds40001349wqm2ec002-0,clx49gds40001349wqm2ec002-0,22_outgoing-7-0,False,optional,815.508801440101
30,1454.6345,2442.0205,1476.0879,2461.7004,1465.3612,2451.8604,0.81533873,32,a48e990e,terminator_single,clnk1xat1003b34aovnr93xsf,#0DB2B2,5f62db72,clx49gds40001349wqm2ec002,clx49gds40001349wqm2ec002-0,clx49gds40001349wqm2ec002-0,22_outgoing-7-0,False,optional,697.3422791987305
31,1450.9674,2285.7903,1509.4089,2316.906,1480.1882,2301.3481,0.8435677,34,9f70a445,terminator_w_future,clnk1x9zm003134aon68l1b4l,#0D7AB2,307f5ca4,clx49gds40001349wqm2ec002,clx49gds40001349wqm2ec002-0,clx49gds40001349wqm2ec002-0,22_outgoing-7-0,False,optional,450.4528855298855
37,1635.7053,1930.2748,1661.7635,2042.3284,1648.7344,1986.3015,0.8767279,14,74b21d95,22_breaker,clnk1x9yy001s34aok46x91s6,#3C0DB2,6124f0f2,clwx2s01g005q348ctgfl1pfr,clwx2s01g005q348ctgfl1pfr-0,clwx2s01g005q348ctgfl1pfr-0,22_outgoing_w_dpm_dim-8-0,False,mandatory,5000.0
