index,xmin,ymin,xmax,ymax,center_x,center_y,confidence,class,predicted_id,name,componentId,color,key,lineTypeId,group,lineTypeIdNumber,lineTypeName,checked,componentType,distance
1,211.10402,1930.8297,239.68088,2038.1748,225.39246,1984.5022,0.8836209,14,080ad2b9,22_breaker,clnk1x9yy001s34aok46x91s6,#3C0DB2,db232958,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,1259.1038225937177
6,293.36853,2136.7065,346.6971,2175.608,320.03284,2156.1572,0.8760424,23,1292f6ed,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,50dbdbe5,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,1285.4002871499993
7,379.9148,2137.1077,433.79648,2175.84,406.85565,2156.4739,0.8993948,22,71d6bd8e,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,9269487d,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,1337.968829644923
0,176.61446,2268.4758,209.4287,2312.0574,193.02158,2290.2666,0.8652962,18,1360c401,22_gs,clnk1x9zf002f34aobq6lwoe3,#0D0DB2,6b523d15,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,865.0235200658624
5,241.18571,2252.1677,273.87778,2270.1814,257.53174,2261.1746,0.7963537,19,90eee27a,22_ll,clnk1x9yz002534ao2aywryg7,#16448c,9e876e2d,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,744.2417741353422
4,216.83534,2286.7917,270.23578,2316.2852,243.53555,2301.5386,0.8221184,34,c9dae1bb,terminator_w_future,clnk1x9zm003134aon68l1b4l,#0D7AB2,2ef52b06,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,503.4234482783627
3,218.46342,2438.1343,241.18747,2456.8972,229.82544,2447.5156,0.8376495,32,6bbf1821,terminator_single,clnk1xat1003b34aovnr93xsf,#0DB2B2,1f4c3330,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,195.0071426749364
8,396.23395,2548.4731,443.65515,2579.2964,419.94455,2563.8848,0.8973877,27,d133f44a,Q,clnk1x9zj002t34aow7kklyyh,#7A0DB2,5c14fdd3,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,636.6437943888956
11,595.88904,1923.0308,620.59204,2043.0951,608.24054,1983.063,0.9005338,14,5f235bb4,22_breaker,clnk1x9yy001s34aok46x91s6,#3C0DB2,81a4d6d2,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-0,clwx2951n000m348c9b3qu4fb-0,22_outgoing-5-0,False,mandatory,5000.0
9,555.1954,2266.349,593.1111,2312.2202,574.1532,2289.2847,0.8774316,18,3b913716,22_gs,clnk1x9zf002f34aobq6lwoe3,#0D0DB2,50b89a74,clwx2951n000m348c9b3qu4fb,clwx2951n000m348c9b3qu4fb-0,clwx2951n000m348c9b3qu4fb-0,22_outgoing-5-0,False,optional,482.84985514955554
